online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
1,0,4.6,404,3,20,0,1000.0,5047
1,1,3.9,561,3,20,1156,900.0,5047
1,1,3.9,486,0,13,710,700.0,5047
1,0,3.9,320,3,20,1196,650.0,2512
1,0,4.1,237,28,30,791,500.0,2644
1,1,3.9,1227,3,20,116,900.0,1175
1,0,4.0,95,3,29,1113,600.0,4932
1,1,4.1,1538,28,20,165,1000.0,2491
1,0,3.7,110,3,20,43,800.0,3526
1,0,4.1,381,0,62,84,250.0,4064
1,0,3.9,251,3,29,1190,500.0,1030
1,0,3.0,353,28,62,1285,400.0,5047
1,0,4.0,205,28,29,1181,450.0,2037
1,0,3.9,183,0,62,868,250.0,4679
1,0,3.9,99,3,30,956,400.0,5047
1,0,4.1,260,28,62,1156,300.0,5047
1,0,3.9,355,0,62,1196,400.0,5047
1,0,4.1,83,0,62,856,400.0,5047
1,0,2.5,321,28,62,1241,400.0,3392
1,0,3.9,362,0,20,1156,600.0,5047
1,1,4.2,2166,28,60,10,1200.0,1767
1,0,4.0,182,28,69,1121,400.0,5047
1,1,3.8,500,3,20,1437,1000.0,5047
1,0,4.0,532,3,20,610,800.0,5047
1,1,3.5,551,3,20,1236,600.0,5047
1,0,4.2,421,3,20,604,700.0,5047
1,0,3.7,662,28,20,201,650.0,5047
1,0,3.8,54,3,62,300,500.0,3784
1,0,4.1,92,0,62,537,300.0,922
1,0,3.7,36,28,29,282,600.0,728
1,0,4.2,2350,28,20,1156,800.0,5047
1,0,3.9,49,3,13,332,600.0,5047
1,0,3.7,184,0,62,858,400.0,5047
1,1,3.6,225,3,20,286,700.0,4382
1,0,4.0,35,0,32,775,300.0,497
1,0,4.0,869,0,29,250,500.0,1288
1,0,4.0,153,28,62,1637,200.0,5047
1,0,3.7,139,3,62,1268,400.0,5047
1,0,3.7,181,3,29,282,500.0,5047
1,0,3.9,669,0,20,1156,500.0,4387
1,0,3.7,168,3,62,1110,600.0,5047
1,0,3.8,170,3,62,1256,250.0,5047
1,0,4.0,112,28,62,1649,200.0,5047
1,0,3.8,58,0,62,203,300.0,3811
1,0,4.0,167,30,62,1589,400.0,5047
1,0,3.9,85,28,62,1490,300.0,5047
1,0,2.6,473,0,62,1002,600.0,902
1,0,3.7,217,28,20,1423,500.0,5047
1,0,3.6,192,0,29,917,450.0,5047
1,1,4.2,611,0,21,141,1500.0,1777
1,0,4.0,166,3,29,1465,750.0,1723
1,0,4.1,46,28,13,502,600.0,5047
1,1,4.4,2233,3,21,744,1200.0,5047
1,0,4.0,107,0,62,1156,300.0,5047
1,0,4.2,306,0,29,1045,600.0,5047
1,1,3.8,756,28,20,1156,1000.0,5047
1,1,4.4,4309,28,52,625,1600.0,5047
1,0,4.0,212,3,62,1156,400.0,5047
1,0,2.9,153,3,62,197,600.0,5047
1,0,4.0,827,0,20,1490,500.0,5047
1,0,4.0,256,3,62,322,500.0,5047
1,0,3.9,40,3,41,442,400.0,5047
1,0,3.9,73,3,72,1578,400.0,5047
1,0,4.2,169,28,13,361,600.0,5047
1,0,4.1,586,28,20,558,700.0,5047
1,0,3.5,221,0,70,1119,400.0,5047
1,0,3.5,177,0,62,203,500.0,5047
1,0,3.9,347,28,20,609,600.0,5047
1,0,3.0,347,3,62,1474,800.0,3125
1,0,3.9,385,28,62,1476,600.0,5047
1,0,4.0,1305,28,20,625,750.0,5047
1,0,3.0,122,3,20,609,500.0,5047
1,0,4.3,539,28,62,617,300.0,5047
1,1,3.9,681,3,20,1274,800.0,5047
1,0,3.8,106,28,29,306,350.0,5047
1,1,4.1,1025,3,20,1156,1000.0,5047
1,0,3.6,132,3,12,1652,250.0,5047
1,0,4.2,289,3,62,6,400.0,5047
1,0,3.9,407,28,20,1196,500.0,5047
1,0,3.9,201,3,62,1196,250.0,5047
1,0,3.7,37,3,13,359,400.0,5047
1,0,4.1,203,28,65,366,650.0,314
1,0,3.1,320,28,20,1384,600.0,5047
1,1,3.8,257,3,20,73,800.0,5047
1,0,3.8,46,28,62,1465,450.0,5047
1,0,3.9,102,3,13,352,450.0,5047
1,1,4.2,237,28,22,349,600.0,5047
1,0,3.7,108,3,62,1084,600.0,5047
1,0,3.9,34,28,20,1091,750.0,5047
1,0,3.2,144,3,62,1218,350.0,2461
1,1,4.2,1028,28,21,614,1100.0,5047
1,0,3.8,84,3,29,38,600.0,3885
1,0,4.0,181,28,20,1214,550.0,5047
1,0,4.0,128,0,30,949,230.0,3240
1,0,3.8,171,28,62,1156,250.0,5047
1,0,3.9,200,28,62,1087,400.0,5047
1,0,3.0,114,3,20,521,1000.0,5047
1,0,3.8,146,28,20,521,600.0,5047
1,0,4.2,248,0,32,210,500.0,381
1,1,4.1,583,28,21,688,1200.0,5047
1,0,3.7,42,28,62,1196,500.0,5047
1,0,3.7,171,3,13,332,300.0,5047
1,0,3.7,79,28,62,826,500.0,5047
1,0,3.7,46,28,13,318,450.0,5047
0,0,4.2,1278,3,20,43,800.0,5047
1,0,3.4,276,0,66,1455,250.0,5047
1,0,3.1,64,28,20,1554,750.0,5047
1,0,4.0,69,0,30,773,300.0,5047
1,0,3.7,288,46,62,1196,500.0,3537
1,0,4.3,676,3,45,772,500.0,5047
1,0,4.1,140,28,62,1547,100.0,5047
